id	genre	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	binary_answer1	binary_answer2	binary_answer3	mode_complexity
1834	news	explicação	mecanismo	então, podemos ter nisso a explicação para a crise da água em são paulo	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	" ""mecan"	" ""mecan"	 (a) 	1	1	1	1
3363	news	medina	visualizar	tanto é que agora conquistou o certificado do sistema de inspeção municipal, entregue na última sexta,9, pelo secretário de agricultura, liberato bochi e pela veterinária patrícia medina aos empresários rita e adair bazana	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	" ""medina"""	" ""medina"""	 (b) 	1	1	0	1
2295	news	defesa	comitês	ao considerar o laudo pericial como insuficiente, incompleto e impreciso, a defesa de dilma rousseff requereu ao tse que nova perícia contábil seja realizada e considere as 8 mil páginas de documentos juntadas aos autos e não examinadas pela perícia anterior, conclui a nota	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	" ""defesa"""	" ""defesa"""	 (b)	1	1	0	1
430	news	economia	responsabilidade	o acadêmico fez os comentários em palestra no décimo terceiro fórum de economia realizado pela eesp-fgv	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	" ""economia"""	" ""economia"""	 (b) 	1	1	0	1
3452	news	explicação	galeria	a explicação é que puccini não havia concluído a ópera, que foi terminada por um dos discípulos mais talentosos de puccini - franco alfano	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	" ""galeria"""	" ""galeria"""	 (a) 	0	0	1	0
244	news	esforços	visualizar	segundo a administração pública, todos os esforços foram feitos anteriormente para que a água chegasse até os munícipes	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	" ""esforços"	" ""esforços"	 (b) 	1	1	0	1
91	news	movimento	observadores	há necessidade de um movimento político, e isso já estamos fazendo, junto à associação mineira dos municípios, para que o governo coloque uma cota maior de recursos para podermos gerenciar, porque as pessoas vivem nos municípios, não é no estado e nem na união	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	" ""movimento"""	" ""movimento"""	 (a) 	1	1	1	1
1652	news	sustentabilidade	galeria	a preocupação com sustentabilidade vem crescendo em todos os setores e os investidores estarão cada vez mais atentos a isso, afirma luciane	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	" ""sustent"	" ""sustent"	 (a) 	1	1	1	1
2039	news	classificação	responsabilidade	a classificação indicativa é de 14 anos	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	" ""responsabilidade"	" ""classificação"	 (b) 	0	1	0	0
1225	news	crise	mecanismo	crise passa longeentre tanta coisa que precisa ser revista neste país, está na hora de alguém, com devida autoridade, vasculhar melhor o funcionamento das negociatas que envolvem vendas de horários da tv para igrejas	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	" ""mecan"	" ""mecan"	 (b) 	1	1	0	1
269	news	todos	ofensa	capacitar e treinar todos os profissionais de saúde	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	" ""todos"""	" ""todos"""	 (b) 	1	1	0	1
2448	news	pergunta	ofensa	frente a frente com o juiz federal sérgio moro, o empreiteiro disse, na ocasião, que por orientação dos advogados não responderia a nenhuma pergunta	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	" ""pergunta"	" ""pergunta"	 (b) 	1	1	0	1
885	news	aviação	mecanismo	além da superlotação, a agência nacional de aviação civil informou que o monomotor não tinha permissão para voar	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	" ""aviação"""	" ""aviação"""	 (b) 	1	1	0	1
1451	news	finança	destino	"os líderes políticos existem e são muito capazes, mas em vez de trabalharem para quem os elege, não passam de capatazes do ert, da alta finança e dos mais variados interesses que patrocinam certos €uro-deputados ou euro-comissários com champanhe e caviar num edifício em bruxelas financiado pelos contribuintes…"	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	" ""finança"""	" ""finança"""	 (b) 	1	1	0	1
