id	word1	word2	context	context2	binary_comparative_val	prompt1	prompt2	prompt3	binary_value1	binary_value2	binary_value3	binary_value4
1834	explicação	mecanismo	"então, podemos ter nisso a explicação para a crise da água em são paulo"	"a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo"	0	" ""Inibidores"	" ""Inibidores"	 The second sentence is more	1	1	1	1
3363	medina	visualizar	"tanto é que agora conquistou o certificado do sistema de inspeção municipal, entregue na última sexta,9, pelo secretário de agricultura, liberato bochi e pela veterinária patrícia medina aos empresários rita e adair bazana"	"foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem"	1	" ""Cerebelar"	" ""Cerebelar"	 The second sentence is more	1	1	1	1
2295	defesa	comitês	"ao considerar o laudo pericial como insuficiente, incompleto e impreciso, a defesa de dilma rousseff requereu ao tse que nova perícia contábil seja realizada e considere as 8 mil páginas de documentos juntadas aos autos e não examinadas pela perícia anterior, conclui a nota"	"para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias"	0	" Both ""possibilidades"	" ""Programas"" is"	 The second sentence is more	1	1	1	1
430	economia	responsabilidade	o acadêmico fez os comentários em palestra no décimo terceiro fórum de economia realizado pela eesp-fgv	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	" Both ""mortes"""	" ""Mortes"""	 B	1	1	1	1
3452	explicação	galeria	"a explicação é que puccini não havia concluído a ópera, que foi terminada por um dos discípulos mais talentosos de puccini - franco alfano"	"na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti"	0	" ""Programas"" is"	" ""Programas"" is"	 The second sentence is more	1	1	1	1
244	esforços	visualizar	"segundo a administração pública, todos os esforços foram feitos anteriormente para que a água chegasse até os munícipes"	"foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem"	1	" Both ""começo"""	" ""Começo"" is"	 Both sentences are equally difficult	1	1	1	1
91	movimento	observadores	"há necessidade de um movimento político, e isso já estamos fazendo, junto à associação mineira dos municípios, para que o governo coloque uma cota maior de recursos para podermos gerenciar, porque as pessoas vivem nos municípios, não é no estado e nem na união"	"de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa"	0	" ""Semanas"""	" ""Semanas"""	 The second sentence is more	1	1	1	1
1652	sustentabilidade	galeria	"a preocupação com sustentabilidade vem crescendo em todos os setores e os investidores estarão cada vez mais atentos a isso, afirma luciane"	"na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti"	1	" ""Programas"" is"	" ""Programas"" is"	 The second sentence is more	1	1	1	1
2039	classificação	responsabilidade	a classificação indicativa é de 14 anos	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	" ""Figuras"" is"	" ""Figuras"" is"	 The second sentence is more	1	1	1	1
1225	crise	mecanismo	"crise passa longeentre tanta coisa que precisa ser revista neste país, está na hora de alguém, com devida autoridade, vasculhar melhor o funcionamento das negociatas que envolvem vendas de horários da tv para igrejas"	"a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo"	0	" Both ""surdez"	" ""Surdez"""	 The second sentence is more	1	1	1	1
