id	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	prompt4_answer	prompt5_answer	prompt6_answer	prompt7_answer	binary_answer1	binary_answer2	binary_answer3	binary_answer4	binary_answer5	binary_answer6	binary_answer7	mode_complexity
3050	praise	name	"Sing to Yahweh a new song, and his praise from the end of the earth, you who go down to the sea, and all that is therein, the islands and their inhabitants."	"If another comes in his own name, you will receive him."	1	"""name"" is more difficult."	"""name"" is more difficult to read."	name	name	praise	praise	"(a). ""sing to yahweh a new song, and his praise from the end of"	0	0	0	1	0	0	1	0
5953	Release	scatters	"Release to us Barabbas!"""	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	scatters.	scatters	scatters	"it depends on the child.  the development of language varies from person to person, so it is"	release	release	"(b). ""a king who sits on the throne of judgment scatters away all evil with his"	0	0	0	1	1	1	0	0
5423	methodology	scatters	"This increases the opportunities for access to employment in the sector in so far as it provides a general education, a research methodology, entrepreneurial abilities and business knowledge, as well as skills in various areas of activity."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	methodology	methodology.	methodology.	scatters.	methodology	scatters	"(a). ""this increases the opportunities for access to employment in the sector in so far as it"	1	1	1	1	0	1	1	1
2411	components	suburbs	"For example, the cyclophilin-like domain (CLD), the internal repeat (W1W2/IR), and zinc-finger rich (ZnF) domains of RanBP2 associate specifically with components of the 19S cap of the proteasome [14], the E2 SUMO-1-conjugating enzyme (Ubc9) [15], and the nuclear export receptor, CRM1/exportin-1 [16], respectively."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	it is difficult to determine which word is more difficult since it could depend on the context in which they	suburbs.	suburbs	suburbs is usually learned first by most children.	components	suburbs	"(a). ""for example, the cyclophilin-like domain (cld), the"	1	0	0	1	0	1	1	1
3023	wives	wheels	"and they came up against Judah, and broke into it, and carried away all the substance that was found in the king's house, and his sons also, and his wives; so that there was never a son left him, except Jehoahaz, the youngest of his sons."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	wives is more difficult.	wheels	wives is more difficult to understand.	wheels	"""wives"" is more common."	wives	"(b). ""then the cherubim lifted up their wings, and the wheels were beside them"	1	0	1	1	0	0	0	0
6343	Zion	scatters	The multitude of all the nations that fight against Mount Zion will be like that.	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	zion.	"""scatters"" is more difficult to read."	zion	scatters.  zion is not likely to be a word a child would learn before the age of	scatters.	zion	"(b). ""a king who sits on the throne of judgment scatters away all evil with his"	1	0	1	1	1	1	0	1
3078	division	fate	"Thus, independent of E2f1-mediated effects on division and death, Rb does regulate neuronal differentiation, but only in specific neurons and, unexpectedly, through E2f3a, not tissue-specific differentiation factors."	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	0	"""fate"" is more difficult."	fate.	"it depends on the context. if the sentence is, ""he was facing a division of fate,"""	fate	division	fate	"(a). ""thus, independent of e2f1-mediated effects on division and death"	0	0	1	1	0	1	1	1
5531	vengeance	observers	"I will execute vengeance in anger, and wrath on the nations that didn't listen."""	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	vengeance.	vengeance	vengeance	"""observers"" is likely the first word learned by a child."	observers	observers.	"(b). ""we adopted the report in committee with a broad majority - 43 in favour, 1"	1	1	1	1	1	1	0	1
4436	forts	nights	"It happened in the ninth year of his reign, in the tenth month, in the tenth day of the month, that Nebuchadnezzar king of Babylon came, he and all his army, against Jerusalem, and encamped against it; and they built forts against it around it."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	nights.	"""nights"" is more difficult to read."	"""nights"" is more difficult to understand."	"it depends on the context and the child's experience. generally, the word ""nights"" is"	nights	forts	"(a). ""it happened in the ninth year of his reign, in the tenth month, in"	0	0	0	1	1	0	1	0
800	Peng	gallery	Biochemical studies also demonstrate that TIF1γ forms both homo-oligomers and hetero-oligomers with TIF1α but not with TIF1β (Peng et al. 2002).	"Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery."	1	gallery	"""gallery"" is more difficult to read."	"""peng"""	"it depends on the context and situation of the child. generally speaking, ""peng"" is easier"	gallery	gallery	"(a). ""biochemical studies also demonstrate that tif1γ forms both homo-ol"	0	0	1	1	1	1	1	1
502	von	suburbs	"The first was the prophet of Europe, Richard von CoudenhoveKalergi, founder of the Pan-European Union, who warned us as even in 1922 that Europe would suffer severely if it did not unite in time."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	von.	suburbs.	"""von"" is more difficult to understand."	suburbs.	suburbs	suburbs.	"(b). ""for the levites left their suburbs and their possession, and came to judah and"	1	0	1	1	1	1	0	1
7063	everyone	scatters	"For everyone who exalts himself will be humbled, and whoever humbles himself will be exalted."""	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	scatters.	scatters.	"""scatters""."	everyone	everyone.	everyone	"(a). ""for everyone who exalts himself will be humbled, and whoever humbles"	0	0	0	0	0	0	1	0
3775	election	shekels	"In particular, we should be ready to make use of the potential positive momentum that the recent election of the Russian President Medvedjev could bring to EU-Russia relations."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	shekels.	"""shekels"""	shekels	"""shekels"" is typically learned first by a child."	election	election	"(b). ""of the one thousand seven hundred seventy-five shekels he made hooks for"	0	0	0	1	0	0	0	0
1494	HG	scatters	"As an initial step, growth and carcass composition QTL were identified in a cross between CAST/EiJ (CAST) and HG [24]."	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	"""hg"" is more difficult than ""scatters""."	hg	"""hg"" is more difficult to understand."	scatters	scatters	scatters	"(b). ""a king who sits on the throne of judgment scatters away all evil with his"	0	1	1	1	1	1	0	1
2166	cloud	nights	"the pillar of cloud by day, and the pillar of fire by night, didn't depart from before the people."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	"""nights."""	"""nights"" is more difficult to read."	nights	"""cloud"" is usually learned first by a child."	cloud	cloud.	"(b) ""in seven days, i will cause it to rain on the earth for forty days"	0	0	0	0	0	0	1	0
1169	SI	fate	XY and SI drafted the manuscript.	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	1	fate.	"""fate"" is more difficult to read."	fate.	"""si"" is usually learned first by a child."	fate	fate	"(b). ""mr president, could we not demonstrate again the great interest that we take in the"	0	0	0	1	1	1	0	0
9068	Babylon	gallery	"For Zedekiah king of Judah had shut him up, saying, Why do you prophesy, and say, Thus says Yahweh, Behold, I will give this city into the hand of the king of Babylon, and he shall take it;"	"Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery."	1	babylon	"""babylon"" is more difficult to read."	"""babylon"""	gallery.	gallery	gallery	"(a). ""for zedekiah king of judah had shut him up, saying, why do"	1	1	1	1	1	1	1	1
8989	offices	name	"It shall happen, that everyone who is left in your house shall come and bow down to him for a piece of silver and a loaf of bread, and shall say, ""Please put me into one of the priests' offices, that I may eat a morsel of bread.""'"""	"If another comes in his own name, you will receive him."	1	name.	name	name	"""name"" is typically learned first by a child."	name	name	"(a). ""it shall happen, that everyone who is left in your house shall come and bow"	0	0	0	1	1	1	1	1
5655	drivers	nights	There are also Danish drivers who have been 'imprisoned' and who are receiving unbelievably bad treatment.	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	nights.	nights	nights.	nights	drivers	drivers	"(b). ""in seven days, i will cause it to rain on the earth for forty days"	0	0	0	1	0	0	0	0
1292	boycott	suburbs	"Many political activists are in prison, and the opposition party has decided to boycott the elections completely."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	"""boycott"" is more difficult."	suburbs	boycott	suburbs. boycott is quite a complicated concept for a child to understand and can be difficult	suburbs	suburbs	"(b). ""for the levites left their suburbs and their possession, and came to judah and"	1	0	1	1	1	1	0	1
4638	implants	gallery	The long term retention of afferents in the cochlear apex in the absence of any apparent differentiation of hair cells raises hopes for cochlear implants in deaf-born children.	"Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery."	1	implants	"""gallery"" is more difficult to read."	"""implants"""	"""gallery"" is likely to be learned first by a child."	gallery	implants	"(a). ""the long term retention of afferents in the cochlear apex in the"	1	0	1	1	1	0	1	1
5204	companies	shekels	A simplified business environment for companies (	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	shekels is more difficult.	shekels is more difficult to read.	shekels.	shekels	companies	companies	"(b). ""of the one thousand seven hundred seventy-five shekels he made hooks for"	0	0	0	1	0	0	0	0
2358	firms	fate	"Supervision of credit institutions, insurance undertakings and investment firms (implementing powers conferred on the Commission) (vote)"	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	1	fate.	fate.	fate.	"""fate"" is likely to be learned before ""firms."" 
"	firms.	fate	"(b). ""mr president, could we not demonstrate again the great interest that we take in the"	0	0	0	1	0	1	0	0
9152	details	wheels	Both of these alleles would be expected to result in null alleles following recombination (see Materials and Methods for details).	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	details.	wheels	wheels	"""wheels"" is typically learned first by a child."	details	details	"(b). ""then the cherubim lifted up their wings, and the wheels were beside them"	1	0	0	1	0	0	0	0
1381	sheaves	name	"In those days saw I in Judah some men treading winepresses on the Sabbath, and bringing in sheaves, and loading donkeys; as also wine, grapes, and figs, and all kinds of burdens, which they brought into Jerusalem on the Sabbath day: and I testified against them in the day in which they sold food."	"If another comes in his own name, you will receive him."	1	sheaves.	sheaves	sheaves	"""name"" is the word most likely to be learned first by a child."	name	name	"(a) ""in those days saw i in judah some men treading winepresses on the"	1	1	1	1	1	1	1	1
9060	Babylon	suburbs	"For Zedekiah king of Judah had shut him up, saying, Why do you prophesy, and say, Thus says Yahweh, Behold, I will give this city into the hand of the king of Babylon, and he shall take it;"	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	babylon	babylon	"""babylon"""	suburbs. babylonia is not a typically word heard in everyday conversation with children. sub	suburbs.	suburbs.	"(a). ""for zedekiah king of judah had shut him up, saying, why do"	1	1	1	1	1	1	1	1
7529	Baal	name	"The border extended, and turned around on the west quarter southward, from the mountain that lies before Beth Horon southward; and ended at Kiriath Baal (the same is Kiriath Jearim), a city of the children of Judah."	"If another comes in his own name, you will receive him."	1	baal	baal.	baal	name	name	name	"(a). ""the border extended, and turned around on the west quarter southward, from the"	1	1	1	1	1	1	1	1
6905	infant	nights	"Now go and strike Amalek, and utterly destroy all that they have, and don't spare them; but kill both man and woman, infant and nursing baby, ox and sheep, camel and donkey.'"""	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	nights	"""nights"" is more difficult to read."	nights	infant	infant.	infant	"(a). ""now go and strike amalek, and utterly destroy all that they have,"	0	0	0	0	0	0	1	0
8871	Jonathan	observers	"Jonathan answered Saul, ""David earnestly asked leave of me to go to Bethlehem."	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	"""observers"" is more difficult."	"""observers"""	"""observers"" is more difficult to understand."	"""jonathan"" is typically learned first by a child."	observers	jonathan	"(b). ""we adopted the report in committee with a broad majority - 43 in favour, 1"	0	0	0	1	1	1	0	0
6610	briefly	suburbs	"Furthermore, at 9 a.m. tomorrow morning when I speak briefly to introduce our work for this term of office, I wish to analyse the scourge of terrorism from a political standpoint, pointing out the insecurity it causes amongst our fellow citizens and how we should respond to it."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	suburbs.	suburbs	suburbs.	suburbs.	suburbs	suburbs	"(b). ""for the levites left their suburbs and their possession, and came to judah and"	0	0	0	1	1	1	0	0
66	adversaries	observers	"I will beat down his adversaries before him, and strike those who hate him."	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	adversaries.	adversaries.	"""adversaries"" is more difficult to understand."	"""observers"" is likely to be learned first by a child."	observers	observers	"(b). ""we adopted the report in committee with a broad majority - 43 in favour, 1"	1	1	1	1	1	1	0	1
6331	safety	observers	This programme is a key element in our food safety strategy.	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	observers.	"""observers"""	"""observers"" is more difficult to understand."	safety	safety	safety	"(b). ""we adopted the report in committee with a broad majority - 43 in favour, 1"	0	0	0	0	0	0	0	0
8532	waiver	wheels	Request for the waiver of parliamentary immunity: see Minutes	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	waiver.	waiver	waiver	wheels	wheels	wheels.	"(b). ""then the cherubim lifted up their wings, and the wheels were beside them"	1	1	1	1	1	1	0	1
8714	snares	shekels	"I find more bitter than death the woman whose heart is snares and traps, whose hands are chains."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	snares.	shekels.	snares.	shekels is probably learned first by a child.	shekels	shekels	"(a). ""i find more bitter than death the woman whose heart is snares and traps"	1	0	1	1	1	1	1	1
1297	boycott	nights	"Many political activists are in prison, and the opposition party has decided to boycott the elections completely."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	boycott.	boycott	boycott.	nights	nights.	boycott	"(b). ""in seven days, i will cause it to rain on the earth for forty days"	1	1	1	1	1	0	0	1
864	start	wheels	"In a simple model, such a binding could interfere with the accessibility of the transcriptional start site for RNA polymerase II and/or general transcription factors, thus preventing transcription initiation of the gene."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	"""wheels"" is more difficult."	"""wheels"" is more difficult to read."	"""wheels"""	"""start"" is typically the first word a child learns."	start	start	"(a). ""in a simple model, such a binding could interfere with the accessibility of the transcription"	0	0	0	0	0	0	1	0
1256	Jerusalem	shekels	"But Peter, standing up with the eleven, lifted up his voice, and spoke out to them, ""You men of Judea, and all you who dwell at Jerusalem, let this be known to you, and listen to my words."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	"""shekels"" is more difficult."	jerusalem	shekels.	"shekels. in general, words related to objects and other concrete things are learned before abstract concepts"	jerusalem	jerusalem	"(b). ""of the one thousand seven hundred seventy-five shekels he made hooks for"	0	1	0	1	1	1	0	1
3115	precepts	shekels	I will meditate on your precepts.	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	1	precepts.	precepts	precepts	shekels. precepts is a word that a child would likely learn at an older age	shekels	shekels	"(b). ""of the one thousand seven hundred seventy-five shekels he made hooks for"	1	1	1	1	1	1	0	1
7051	Mb	observers	"Transcription of apparent 'singleton' olfactory receptor genes (0.5 Mb or more from the nearest other olfactory receptor gene) suggests that there is no absolute requirement for genomic clustering for an olfactory receptor to be transcribed, consistent with observations that small olfactory receptor transgenes can be expressed correctly when integrated outside native olfactory receptor clusters [35]."	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	"""observers"" is more difficult."	mb	"""observers"" is more difficult to understand."	mb	observers	observers	"(a). ""transcription of apparent 'singleton' olfactory receptor genes (0."	0	1	0	1	1	1	1	1
3292	accession	observers	"Mr President, the accession of the EU to the Transport Protocol of the Alpine Convention is a small but perfectly formed piece in the jigsaw of a new transport policy in Europe."	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	accession.	"""accession"""	accession is more difficult to understand.	observers.	observers	observers	"(a). ""mr president, the accession of the eu to the transport protocol of the alpine"	1	1	1	1	1	1	1	1
1496	HG	nights	"As an initial step, growth and carcass composition QTL were identified in a cross between CAST/EiJ (CAST) and HG [24]."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	nights.	"""hg"""	"""hg"" is more difficult to understand."	"""hg"" is not a word, so the answer would be ""nights""."	nights	nights	"(b). ""in seven days, i will cause it to rain on the earth for forty days"	0	1	1	1	1	1	0	1
1206	vesicle	shekels	Annexin A7 is thought to have a role in vesicle fusion and in regulating and stabilizing membrane domains [1].	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	1	vesicle.	"""vesicle"" is more difficult to read."	vesicle	"shekels, as it is a word used commonly in conversation. vesicle is a more technical"	shekels	shekels	"(a). ""annexin a7 is thought to have a role in vesicle fusion"	1	1	1	1	1	1	1	1
6252	defence	wheels	The new directive is a major step forward towards the establishment of a common European defence market.	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	"it is difficult to say which word is more difficult, as this answer is subjective and may depend on"	defence	defence	"wheels. generally, children learn sensory-related words first, such as ""wheels"" which involves"	wheels	wheels	"(b). ""then the cherubim lifted up their wings, and the wheels were beside them"	1	1	1	1	1	1	0	1
2160	cloud	name	"the pillar of cloud by day, and the pillar of fire by night, didn't depart from before the people."	"If another comes in his own name, you will receive him."	1	"""name"" is more difficult."	"""name"" is more difficult to read."	"""name"""	"""name."""	cloud	cloud.	"(b). ""if another comes in his own name, you will receive him."""	0	0	0	1	0	0	0	0
