Id	Genre	Sentence	ComplexWord	Gold_Complexity	prompt1_pred	prompt2_pred	prompt3_pred	prompt4_pred	avg_pred1_2	avg_pred3_4
1	bible	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	nome	0.04	0.5	0.5	0.5	0.5	0.5	0.5
2	bible	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	arrabaldes	0.62	0.5	0.5	0.5	0.5	0.5	0.5
3	news	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	observadores	0.19	0.5	0.5	0.22	0.5	0.5	0.36
4	bible	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	rodas	0.1	0.5	0.5	0.5	0.5	0.5	0.5
5	bible	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	dissipa	0.26	0.5	0.5	0.5	0.5	0.5	0.5
6	bible	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	siclos	0.44	0.5	0.5	0.5	0.5	0.5	0.5
7	bible	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	noites	0.04	0.5	0.5	0.5	0.5	0.5	0.5
8	bible	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	inimigos	0.08	0.5	0.5	0.5	0.5	0.5	0.5
9	news	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	destino	0.18	0.5	0.5	0.22	0.5	0.5	0.36
10	news	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	galeria	0.14	0.5	0.0	0.0	0.5	0.25	0.25
11	news	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	visualizar	0.1	0.5	0.5	0.22	0.5	0.5	0.36
12	bible	Outras igrejas despojei eu para vos servir, recebendo delas salário; e quando estava presente convosco, e tinha necessidade, a ninguém fui pesado.	necessidade	0.19	0.5	0.5	0.5	0.5	0.5	0.5
13	biomed	Acredita-se que o subconjunto poderá orientar de forma segura e sistemática os enfermeiros que trabalham na área materno-infantil, favorecendo a execução do Processo de Enfermagem e promovendo a qualidade da assistência, centrada na mulher, na criança e na família que estão vivenciando o processo de amamentação.	subconjunto	0.4	0.5	0.5	0.5	0.5	0.5	0.5
14	news	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	mecanismo	0.2	0.5	0.5	0.5	0.44	0.5	0.47
15	bible	Nem ainda no teu pensamento amaldiçoes ao rei, nem tampouco no mais interior da tua recâmara amaldiçoes ao rico; porque as aves dos céus levariam a voz, e os que têm asas dariam notícia do assunto.	asas	0.14	0.5	0.5	0.5	0.5	0.5	0.5
16	bible	E disse Moisés a Arão: Toma o teu incensário, e põe nele fogo do altar, e deita incenso sobre ele, e vai depressa à congregação, e faze expiação por eles; porque grande indignação saiu de diante do SENHOR; já começou a praga.	indignação	0.25	0.5	0.5	0.5	0.5	0.5	0.5
17	bible	Aos nove do mês quarto, quando a cidade se via apertada pela fome, nem havia pão para o povo da terra,	fome	0.04	0.5	0.5	0.5	0.5	0.5	0.5
18	bible	E o rei falou com eles; e entre todos eles não foram achados outros tais como Daniel, Hananias, Misael e Azarias; portanto ficaram assistindo diante do rei.	Daniel	0.05	0.5	0.5	0.5	0.5	0.5	0.5
19	news	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	comitês	0.26	0.5	0.5	0.5	0.5	0.5	0.5
20	bible	Tirei de seus ombros a carga; as suas mãos foram livres dos cestos.	cestos	0.16	0.5	0.5	0.5	0.5	0.5	0.5
21	news	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	tributação	0.19	0.5	0.0	0.0	0.5	0.25	0.25
22	bible	Então disse Abisai, filho de Zeruia, ao rei: Por que amaldiçoaria este cão morto ao rei meu senhor? Deixa-me passar, e lhe tirarei a cabeça.	Deixa-me	0.24	0.5	0.5	0.5	0.5	0.5	0.5
23	news	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	autoridades	0.12	0.5	0.0	0.0	0.5	0.25	0.25
