id	word1	word2	context	context2	binary_comparative_val	prompt1	prompt2	prompt3	binary_value1	binary_value2	binary_value3	binary_value4
1834	explicação	mecanismo	"então, podemos ter nisso a explicação para a crise da água em são paulo"	"a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo"	0	" Both ""explicação"	" ""Mecanismo"	 The second sentence is more	1	0	0	0
3363	medina	visualizar	"tanto é que agora conquistou o certificado do sistema de inspeção municipal, entregue na última sexta,9, pelo secretário de agricultura, liberato bochi e pela veterinária patrícia medina aos empresários rita e adair bazana"	"foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem"	1	" ""Visualizar"" is"	" ""Visualizar"" is"	 The first sentence is more	0	0	1	0
2295	defesa	comitês	"ao considerar o laudo pericial como insuficiente, incompleto e impreciso, a defesa de dilma rousseff requereu ao tse que nova perícia contábil seja realizada e considere as 8 mil páginas de documentos juntadas aos autos e não examinadas pela perícia anterior, conclui a nota"	"para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias"	0	" Both ""defesa"""	" ""Comitês"""	 The second sentence is more	1	0	0	0
430	economia	responsabilidade	o acadêmico fez os comentários em palestra no décimo terceiro fórum de economia realizado pela eesp-fgv	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	" Both ""economia"	" ""Economia"""	 The second sentence is more	1	1	0	1
3452	explicação	galeria	"a explicação é que puccini não havia concluído a ópera, que foi terminada por um dos discípulos mais talentosos de puccini - franco alfano"	"na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti"	0	" Both ""explicação"	" ""Galeria"""	 The second sentence is more	1	0	0	0
244	esforços	visualizar	"segundo a administração pública, todos os esforços foram feitos anteriormente para que a água chegasse até os munícipes"	"foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem"	1	" Both words are difficult,"	" ""Visualizar"" is"	 The second sentence is more	1	0	0	0
91	movimento	observadores	"há necessidade de um movimento político, e isso já estamos fazendo, junto à associação mineira dos municípios, para que o governo coloque uma cota maior de recursos para podermos gerenciar, porque as pessoas vivem nos municípios, não é no estado e nem na união"	"de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa"	0	" Both ""movimento"""	" ""Movimento"""	 The second sentence is more	1	1	0	1
1652	sustentabilidade	galeria	"a preocupação com sustentabilidade vem crescendo em todos os setores e os investidores estarão cada vez mais atentos a isso, afirma luciane"	"na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti"	1	" ""Sustentabil"	" ""Sustentabil"	 The second sentence is more	1	1	0	1
2039	classificação	responsabilidade	a classificação indicativa é de 14 anos	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	" Both words are difficult,"	" ""Classificação"""	" The sentence ""os re"	1	1	0	1
1225	crise	mecanismo	"crise passa longeentre tanta coisa que precisa ser revista neste país, está na hora de alguém, com devida autoridade, vasculhar melhor o funcionamento das negociatas que envolvem vendas de horários da tv para igrejas"	"a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo"	0	" ""Mecanismo"	" ""Mecanismo"	 The second sentence is more	0	0	0	0
