id	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	prompt4_answer	prompt5_answer	prompt6_answer	prompt7_answer	binary_answer1	binary_answer2	binary_answer3	binary_answer4	binary_answer5	binary_answer6	binary_answer7	mode_complexity
1	name	suburbs	"If another comes in his own name, you will receive him."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
2	name	observers	"If another comes in his own name, you will receive him."	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
3	name	wheels	"If another comes in his own name, you will receive him."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
4	name	scatters	"If another comes in his own name, you will receive him."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
5	name	shekels	"If another comes in his own name, you will receive him."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
6	name	nights	"If another comes in his own name, you will receive him."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
7	name	adversaries	"If another comes in his own name, you will receive him."	"I will beat down his adversaries before him, and strike those who hate him."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
8	name	fate	"If another comes in his own name, you will receive him."	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
9	name	gallery	"If another comes in his own name, you will receive him."	"Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
10	suburbs	name	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"If another comes in his own name, you will receive him."	1	name	name	name	name	name	name	(b).	0	0	0	1	1	1	1	1
11	suburbs	observers	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support."	1	observe	suburb	suburb	suburb	suburb	suburb	(b).	1	1	1	1	1	1	1	1
12	suburbs	wheels	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	suburb	suburb	suburb	suburb	suburb	suburb	(b).	1	1	1	1	1	1	1	1
13	suburbs	scatters	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	suburb	suburb	suburb	suburb	suburb	suburb	(b).	1	1	1	1	1	1	1	1
14	suburbs	shekels	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	she	she	she	suburb	she	suburb	(b).	1	1	1	1	1	1	1	1
15	suburbs	nights	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	suburb	suburb	suburb	suburb	suburb	suburb	(b).	1	1	1	1	1	1	1	1
16	suburbs	adversaries	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"I will beat down his adversaries before him, and strike those who hate him."	0				suburb		suburb	(b).	1	1	1	1	1	1	1	1
17	suburbs	fate	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	1	fate	subdivision	fate	suburb	suburb	suburb	(b).	0	1	0	1	1	1	1	1
