id	genre	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	binary_answer1	binary_answer2	binary_answer3	mode_complexity
3050	all_genres	praise	name	Sing to Yahweh a new song, and his praise from the end of the earth, you who go down to the sea, and all that is therein, the islands and their inhabitants.	If another comes in his own name, you will receive him.	1	" ""praise"""	" ""praise"""	 (b) 	1	1	0	1
5953	all_genres	Release	scatters	"Release to us Barabbas!"""	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Release"" is"	" ""Scatters"""	 (b) 	1	0	0	0
5423	all_genres	methodology	scatters	This increases the opportunities for access to employment in the sector in so far as it provides a general education, a research methodology, entrepreneurial abilities and business knowledge, as well as skills in various areas of activity.	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""methodology"""	" ""methodology"""	 (a)	1	1	1	1
2411	all_genres	components	suburbs	For example, the cyclophilin-like domain (CLD), the internal repeat (W1W2/IR), and zinc-finger rich (ZnF) domains of RanBP2 associate specifically with components of the 19S cap of the proteasome [14], the E2 SUMO-1-conjugating enzyme (Ubc9) [15], and the nuclear export receptor, CRM1/exportin-1 [16], respectively.	For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;	0	" ""suburbs"	" ""suburbs"	 (a)	0	0	1	0
3023	all_genres	wives	wheels	and they came up against Judah, and broke into it, and carried away all the substance that was found in the king's house, and his sons also, and his wives; so that there was never a son left him, except Jehoahaz, the youngest of his sons.	Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above.	0	" ""wheels"""	" ""Wives"""	 (b) 	0	1	0	0
6343	all_genres	Zion	scatters	The multitude of all the nations that fight against Mount Zion will be like that.	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	" ""Zion"""	" ""Zion"""	 (b) 	1	1	0	1
3078	all_genres	division	fate	Thus, independent of E2f1-mediated effects on division and death, Rb does regulate neuronal differentiation, but only in specific neurons and, unexpectedly, through E2f3a, not tissue-specific differentiation factors.	Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?	0	" ""fate"""	" ""fate"""	 (b)	0	0	0	0
5531	all_genres	vengeance	observers	"I will execute vengeance in anger, and wrath on the nations that didn't listen."""	We adopted the report in committee with a broad majority - 43 in favour, 1 against, 1 abstention - and some of the professional observers from other Member States were surprised that, following the controversial debate, a regulation was produced that received such a high level of support.	1	" ""vengeance"	" ""observers"	 (b) 	1	0	0	0
4436	all_genres	forts	nights	It happened in the ninth year of his reign, in the tenth month, in the tenth day of the month, that Nebuchadnezzar king of Babylon came, he and all his army, against Jerusalem, and encamped against it; and they built forts against it around it.	In seven days, I will cause it to rain on the earth for forty days and forty nights.	1	" ""forts"" is"	" ""forts"" is"	 (b). 	1	1	0	1
800	all_genres	Peng	gallery	Biochemical studies also demonstrate that TIF1γ forms both homo-oligomers and hetero-oligomers with TIF1α but not with TIF1β (Peng et al. 2002).	Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery.	1	" ""Peng"""	" ""Peng"""	 (a)	1	1	1	1
502	all_genres	von	suburbs	The first was the prophet of Europe, Richard von CoudenhoveKalergi, founder of the Pan-European Union, who warned us as even in 1922 that Europe would suffer severely if it did not unite in time.	For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;	1	" ""von"" is"	" ""von"" is"	 (a) is	1	1	1	1
7063	all_genres	everyone	scatters	"For everyone who exalts himself will be humbled, and whoever humbles himself will be exalted."""	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""scatters"""	" ""scatters"""	 (b) 	0	0	0	0
3775	all_genres	election	shekels	In particular, we should be ready to make use of the potential positive momentum that the recent election of the Russian President Medvedjev could bring to EU-Russia relations.	Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them.	0	" ""election"""	" ""Shekels"	 (a)	1	0	1	1
1494	all_genres	HG	scatters	As an initial step, growth and carcass composition QTL were identified in a cross between CAST/EiJ (CAST) and HG [24].	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	" ""HG"""	" ""HG"""	 (b)	1	1	0	1
2166	all_genres	cloud	nights	the pillar of cloud by day, and the pillar of fire by night, didn't depart from before the people.	In seven days, I will cause it to rain on the earth for forty days and forty nights.	1	" ""cloud"" is"	" ""cloud"" is"	 (b) 	1	1	0	1
1169	all_genres	SI	fate	XY and SI drafted the manuscript.	Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?	1	" ""fate"""	" ""fate"""	 (b) 	0	0	0	0
9068	all_genres	Babylon	gallery	For Zedekiah king of Judah had shut him up, saying, Why do you prophesy, and say, Thus says Yahweh, Behold, I will give this city into the hand of the king of Babylon, and he shall take it;	Before moving on to deal with the order of business for today, I should like to welcome the delegation from the Duma and the Federal Council to the official gallery.	1	" ""Babylon"""	" ""Babylon"""	 (b) 	1	1	0	1
8989	all_genres	offices	name	"It shall happen, that everyone who is left in your house shall come and bow down to him for a piece of silver and a loaf of bread, and shall say, ""Please put me into one of the priests' offices, that I may eat a morsel of bread.""'"""	If another comes in his own name, you will receive him.	1	" ""offices"""	" ""offices"""	 (b) 	1	1	0	1
