id	genre	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	binary_answer1	binary_answer2	binary_answer3	mode_complexity
3300	bible	Kingdom	wheels	There will be weeping and gnashing of teeth, when you see Abraham, Isaac, Jacob, and all the prophets, in the Kingdom of God, and yourselves being thrown outside.	Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above.	0	" ""Kingdom"" is"	" ""Kingdom"" is"	 (b) is more	1	1	0	1
2545	bible	Roman	adversaries	"When they had tied him up with thongs, Paul asked the centurion who stood by, ""Is it lawful for you to scourge a man who is a Roman, and not found guilty?"""	I will beat down his adversaries before him, and strike those who hate him.	0	" ""Roman"" is more"	" ""Adversaries"""	 (b) is more	1	0	0	0
249	bible	wisdom	wings	How much better it is to get wisdom than gold!	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter.	1	" ""wisdom"""	" ""wisdom"""	 (b) is more	1	1	0	1
3186	bible	infant	wings	"Now go and strike Amalek, and utterly destroy all that they have, and don't spare them; but kill both man and woman, infant and nursing baby, ox and sheep, camel and donkey.'"""	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter.	1	" ""wings"" is"	" ""wings"" is"	 (b) is more	0	0	0	0
2016	bible	ranks	adversaries	They sat down in ranks, by hundreds and by fifties.	I will beat down his adversaries before him, and strike those who hate him.	0	" ""ranks"" is"	" ""Adversaries"""	 (b) is more	1	0	0	0
2615	bible	God	adversaries	All the kings of the earth sought the presence of Solomon, to hear his wisdom, which God had put in his heart.	I will beat down his adversaries before him, and strike those who hate him.	0	" ""God"" is more"	" ""Adversaries"""	 (b) is more	1	0	0	0
3440	bible	Ishmael	wheels	Ishmael the son of Nethaniah went forth from Mizpah to meet them, weeping all along as he went: and it happened, as he met them, he said to them, Come to Gedaliah the son of Ahikam.	Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above.	1	" ""Ishmael"	" ""Ishmael"	 (a) is more	1	1	1	1
2044	bible	rest	shekels	The rest of the acts of Abijam, and all that he did, aren't they written in the book of the chronicles of the kings of Judah?	Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them.	0	" ""rest"" is more"	" ""Shekels"""	 (b) is more	1	0	0	0
3815	bible	vineyard	assemblies	At the proper season, he sent a servant to the farmers to collect his share of the fruit of the vineyard.	I robbed other assemblies, taking wages from them that I might serve you.	0	" ""assemblies"""	" ""assemblies"""	 (b) is more	0	0	0	0
794	bible	wood	shekels	On whatever any of them falls when they are dead, it shall be unclean; whether it is any vessel of wood, or clothing, or skin, or sack, whatever vessel it is, with which any work is done, it must be put into water, and it shall be unclean until the evening; then it will be clean.	Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them.	0	" ""Shekels"""	" ""Shekels"""	 (b) is more	0	0	0	0
