id	word1	word2	context	context2	Gold_Complexity	prompt1	prompt2	prompt3	binary_answer1	binary_answer2	binary_answer3	binary_answer4
3300	Kingdom	wheels	"There will be weeping and gnashing of teeth, when you see Abraham, Isaac, Jacob, and all the prophets, in the Kingdom of God, and yourselves being thrown outside."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Kingdom"""	" ""Kingdom"""	 The first sentence is more	1	1	1	1
2545	Roman	adversaries	"When they had tied him up with thongs, Paul asked the centurion who stood by, ""Is it lawful for you to scourge a man who is a Roman, and not found guilty?"""	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	0	0	1	0
249	wisdom	wings	How much better it is to get wisdom than gold!	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Wings"" is"	 The second sentence is more	0	0	0	0
3186	infant	wings	"Now go and strike Amalek, and utterly destroy all that they have, and don't spare them; but kill both man and woman, infant and nursing baby, ox and sheep, camel and donkey.'"""	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Wings"" is"	 The first sentence is more	0	0	1	0
2016	ranks	adversaries	"They sat down in ranks, by hundreds and by fifties."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The second sentence is more	0	0	0	0
2615	God	adversaries	"All the kings of the earth sought the presence of Solomon, to hear his wisdom, which God had put in his heart."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	0	0	1	0
3440	Ishmael	wheels	"Ishmael the son of Nethaniah went forth from Mizpah to meet them, weeping all along as he went: and it happened, as he met them, he said to them, Come to Gedaliah the son of Ahikam."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Ishmael"	" ""Ishmael"	 The second sentence is more	1	1	0	1
2044	rest	shekels	"The rest of the acts of Abijam, and all that he did, aren't they written in the book of the chronicles of the kings of Judah?"	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	0	0	0	0
3815	vineyard	assemblies	"At the proper season, he sent a servant to the farmers to collect his share of the fruit of the vineyard."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Assemblies"""	" ""Vineyard"""	 The second sentence is more	0	1	0	1
794	wood	shekels	"On whatever any of them falls when they are dead, it shall be unclean; whether it is any vessel of wood, or clothing, or skin, or sack, whatever vessel it is, with which any work is done, it must be put into water, and it shall be unclean until the evening; then it will be clean."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The first sentence is more	0	0	1	0
1599	distraction	wrath	"This I say for your own profit; not that I may ensnare you, but for that which is appropriate, and that you may attend to the Lord without distraction."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The first sentence is more	0	0	1	0
791	wood	suburbs	"On whatever any of them falls when they are dead, it shall be unclean; whether it is any vessel of wood, or clothing, or skin, or sack, whatever vessel it is, with which any work is done, it must be put into water, and it shall be unclean until the evening; then it will be clean."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	0	0	1	0
3242	desert	shekels	"Yet they still went on to sin against him, to rebel against the Most High in the desert."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	0	0	0	0
2871	dominion	scatters	The upright shall have dominion over them in the morning.	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	" ""Scatters"""	" ""Scatters"""	 The second sentence is more	0	0	0	0
3850	captivity	wheels	"The wind shall feed all your shepherds, and your lovers shall go into captivity: surely then you will be ashamed and confounded for all your wickedness."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Captivity"" is"	" ""Captivity"" is"	 The first sentence is more	1	1	1	1
629	goodness	wings	"Oh how great is your goodness, which you have laid up for those who fear you, which you have worked for those who take refuge in you, before the sons of men!"	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Wings"" is"	 The first sentence is more	0	0	1	0
1695	accusers	nights	"To whom I answered that it is not the custom of the Romans to give up any man to destruction, before the accused has met the accusers face to face, and has had opportunity to make his defense concerning the matter laid against him."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The first sentence is more	0	0	1	0
3123	iniquity	nights	"That man didn't perish alone in his iniquity.'"""	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	0	0	0	0
1683	idols	scatters	"because they rejected my ordinances, and didn't walk in my statutes, and profaned my Sabbaths: for their heart went after their idols."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Scatters"""	" ""Scatters"""	 The first sentence is more	0	0	1	0
1717	Abel	assemblies	You shall anoint Jehu the son of Nimshi to be king over Israel; and you shall anoint Elisha the son of Shaphat of Abel Meholah to be prophet in your place.	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Abel"" is"	" ""Abel"" is"	 The first sentence is more	1	1	1	1
1278	mouth	wings	but I would strengthen you with my mouth.	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Wings"" is"	 The second sentence is more	0	0	0	0
1347	order	assemblies	"Outside of the veil of the Testimony, in the Tent of Meeting, shall Aaron keep it in order from evening to morning before Yahweh continually: it shall be a statute forever throughout your generations."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Assemblies"""	" ""Assemblies"""	 The first sentence is more	0	0	1	0
2644	brass	nights	"I will break the doors of brass in pieces, and cut apart the bars of iron."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	0	0	0	0
1971	courage	suburbs	He shall stir up his power and his courage against the king of the south with a great army; and the king of the south shall war in battle with an exceeding great and mighty army; but he shall not stand; for they shall devise devices against him.	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	0	0	1	0
550	means	wrath	"requesting, if by any means now at last I may be prospered by the will of God to come to you."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The second sentence is more	0	0	0	0
1816	Sailing	adversaries	"Sailing from there, we came the following day opposite Chios."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Sailing"""	" ""Sailing"""	 The second sentence is more	1	1	0	1
1576	Yahweh	adversaries	"Yahweh said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction."	"I will beat down his adversaries before him, and strike those who hate him."	1	" ""Yahweh"	" ""Yahweh"	 The first sentence is more	1	1	1	1
1855	Gad	nights	"David said to Gad, ""I am in distress."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Gad"" is"	" ""Gad"" is"	" The sentence ""In seven"	1	1	0	1
1984	murmurings	shekels	"Your murmurings are not against us, but against Yahweh."""	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Murmurings"	 The second sentence is more	0	1	0	1
2960	sockets	wheels	"For the other side shall be hangings of fifteen cubits; their pillars three, and their sockets three."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Sockets"""	" ""Sockets"""	 The first sentence is more	1	1	1	1
883	wares	scatters	"Gather up your wares out of the land, you who live under siege."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Wares"" is"	" ""Wares"" is"	 The second sentence is more	1	1	0	1
2910	eagle	wheels	"For thus says Yahweh: Behold, he shall fly as an eagle, and shall spread out his wings against Moab."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Eagle"" is"	" ""Wheels"""	 The second sentence is more	1	0	0	1
3129	breaches	suburbs	"let the priests take it to them, every man from his acquaintance; and they shall repair the breaches of the house, wherever any breach shall be found."""	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	0	0	1	0
777	footstool	assemblies	from that time waiting until his enemies are made the footstool of his feet.	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Assemblies"""	" ""Assemblies"""	 The second sentence is more	0	0	0	0
2537	dragon	wings	"The earth helped the woman, and the earth opened its mouth and swallowed up the river which the dragon spewed out of his mouth."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Dragon"" is"	" ""Dragon"" is"	 The second sentence is more	1	1	0	1
3808	vineyard	name	"At the proper season, he sent a servant to the farmers to collect his share of the fruit of the vineyard."	"If another comes in his own name, you will receive him."	1	" ""Vineyard"""	" ""Vineyard"""	 The first sentence is more	1	1	1	1
1775	inhabitant	nights	"Why have you prophesied in the name of Yahweh, saying, This house shall be like Shiloh, and this city shall be desolate, without inhabitant?"	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Inhabitant"	" ""Nights"" is"	 The first sentence is more	1	0	1	0
3271	sin	scatters	"if my people, who are called by my name, shall humble themselves, and pray, and seek my face, and turn from their wicked ways; then will I hear from heaven, and will forgive their sin, and will heal their land."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Sin"" is"	" ""Scatters"""	 The first sentence is more	1	0	1	0
2281	cloud	wheels	"Yes, he loads the thick cloud with moisture."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Cloud"" is more"	" ""Wheels"""	 The second sentence is more	1	0	0	1
4300	waters	wheels	"The waters surrounded me, even to the soul."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
1557	comforters	assemblies	"Where will I seek comforters for you?"""	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Comforters"""	" ""Comforters"""	" The sentence ""I ro"	1	1	0	1
1091	Shadrach	suburbs	"Then was Nebuchadnezzar full of fury, and the form of his appearance was changed against Shadrach, Meshach, and Abednego: [therefore] he spoke, and commanded that they should heat the furnace seven times more than it was usually heated."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	" ""Shadrach"""	" ""Shadrach"""	 The first sentence is more	1	1	1	1
3448	lion	name	"David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock,"	"If another comes in his own name, you will receive him."	1	" ""Name"" is more"	" ""Name"" is less"	 The first sentence is more	0	0	1	0
2689	tongue	suburbs	"But they flattered him with their mouth, and lied to him with their tongue."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	0	0	1	0
232	Christ	suburbs	"For the Son of God, Jesus Christ, who was preached among you by us, by me, Silvanus, and Timothy, was not ""Yes and no,"" but in him is ""Yes."""	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Christ"" is more"	" ""Christ"" is less"	 The first sentence is more	1	1	1	1
1048	conceit	wings	"doing nothing through rivalry or through conceit, but in humility, each counting others better than himself;"	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Conceit"""	 The second sentence is more	0	1	0	1
3817	vineyard	wrath	"At the proper season, he sent a servant to the farmers to collect his share of the fruit of the vineyard."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	1	" ""Vineyard"""	" ""Wrath"""	 The first sentence is more	1	0	1	0
3108	dream	name	"I have heard it said of you, that when you hear a dream you can interpret it."""	"If another comes in his own name, you will receive him."	1	" ""Dream"" is"	" ""Name"" is less"	 The first sentence is more	1	0	1	0
1842	garment	wheels	"At the evening offering I arose up from my humiliation, even with my garment and my robe torn; and I fell on my knees, and spread out my hands to Yahweh my God;"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Garment"""	" ""Garment"""	 The first sentence is more	1	1	1	1
3121	iniquity	scatters	"That man didn't perish alone in his iniquity.'"""	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	" ""Scatters"""	" ""Scatters"""	 The second sentence is more	0	0	0	0
4260	wife	wheels	"Othniel the son of Kenaz, Caleb's younger brother, took it: and he gave him Achsah his daughter as wife."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
3860	men	wheels	"the baptism of John, was it from heaven, or from men?"""	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
2082	forts	wheels	"It happened in the ninth year of his reign, in the tenth month, in the tenth day of the month, that Nebuchadnezzar king of Babylon came, he and all his army, against Jerusalem, and encamped against it; and they built forts against it around it."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Forts"""	" ""Forts"""	 The second sentence is more	1	1	0	1
983	controversies	scatters	"Moreover in Jerusalem Jehoshaphat appointed Levites and priests, and of the heads of the fathers' households of Israel, for the judgment of Yahweh, and for controversies."	A king who sits on the throne of judgment scatters away all evil with his eyes.	1	" ""Controversies"	" ""Scatters"""	 The first sentence is more	1	0	1	0
348	thickness	assemblies	"Behold, a wall on the outside of the house all around, and in the man's hand a measuring reed six cubits long, of a cubit and a handbreadth each: so he measured the thickness of the building, one reed; and the height, one reed."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Assemblies"""	" ""Assemblies"""	 The first sentence is more	0	0	1	0
3998	chariots	name	The Egyptians pursued after your fathers with chariots and with horsemen to the Red Sea .	"If another comes in his own name, you will receive him."	1	" ""Chariots"""	" ""Name"" is less"	 The first sentence is more	1	0	1	0
2828	chains	name	"He was kept under guard, and bound with chains and fetters."	"If another comes in his own name, you will receive him."	1	" ""Chains"" is"	" ""Name"" is less"	 The first sentence is more	1	0	1	0
458	Abel	assemblies	"He went through all the tribes of Israel to Abel, and to Beth Maacah, and all the Berites: and they were gathered together, and went also after him."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Abel"" is"	" ""Abel"" is"	 The first sentence is more	1	1	1	1
2737	council	wrath	"The chief priests therefore and the Pharisees gathered a council, and said, ""What are we doing?"	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	1	" ""Wrath"""	" ""Wrath"""	 The second sentence is more	0	0	0	0
860	lewdness	name	"Therefore thus says the Lord Yahweh: Because you have forgotten me, and cast me behind your back, therefore you also bear your lewdness and your prostitution."	"If another comes in his own name, you will receive him."	1	" ""Lewdness"	" ""Lewdness"	 The first sentence is more	1	1	1	1
383	Nob	wheels	"Then the king sent to call Ahimelech the priest, the son of Ahitub, and all his father's house, the priests who were in Nob: and they came all of them to the king."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Nob"" is"	" ""Nob"" is"	 The second sentence is more	1	1	0	1
2022	News	wheels	This is the word of Good News which was preached to you.	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
4316	youth	wings	"Therefore remove sorrow from your heart, and put away evil from your flesh; for youth and the dawn of life are vanity."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Wings"" is"	" ""Wings"" is"	 The second sentence is more	0	0	0	0
2649	vengeance	name	"I will execute vengeance in anger, and wrath on the nations that didn't listen."""	"If another comes in his own name, you will receive him."	1	" ""Vengeance"	" ""Vengeance"	 The first sentence is more	1	1	1	1
1452	praise	wheels	"Sing to Yahweh a new song, and his praise from the end of the earth, you who go down to the sea, and all that is therein, the islands and their inhabitants."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	" ""Praise"" is"	" ""Wheels"""	 The first sentence is more	1	0	1	0
1096	Shadrach	adversaries	"Then was Nebuchadnezzar full of fury, and the form of his appearance was changed against Shadrach, Meshach, and Abednego: [therefore] he spoke, and commanded that they should heat the furnace seven times more than it was usually heated."	"I will beat down his adversaries before him, and strike those who hate him."	1	" ""Shadrach"""	" ""Shadrach"""	 The first sentence is more	1	1	1	1
2704	scribes	adversaries	"Their scribes and the Pharisees murmured against his disciples, saying, ""Why do you eat and drink with the tax collectors and sinners?"""	"I will beat down his adversaries before him, and strike those who hate him."	1	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	0	0	1	0
2018	ranks	wings	"They sat down in ranks, by hundreds and by fifties."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Ranks"" is"	" ""Wings"" is"	 The second sentence is more	1	0	0	1
3374	gods	adversaries	Indeed all the nations may walk in the name of their gods; but we will walk in the name of Yahweh our God forever and ever.	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	0	0	1	0
4237	nation	wrath	"Nation will not lift up sword against nation, neither will they learn war any more."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The first sentence is more	0	0	1	0
