id	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	prompt4_answer	prompt5_answer	prompt6_answer	prompt7_answer	binary_answer1	binary_answer2	binary_answer3	binary_answer4	binary_answer5	binary_answer6	binary_answer7	mode_complexity
1	name	suburbs	"If another comes in his own name, you will receive him."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
2	name	wheels	"If another comes in his own name, you will receive him."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
3	name	scatters	"If another comes in his own name, you will receive him."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
4	name	shekels	"If another comes in his own name, you will receive him."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
5	name	nights	"If another comes in his own name, you will receive him."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
6	name	adversaries	"If another comes in his own name, you will receive him."	"I will beat down his adversaries before him, and strike those who hate him."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
7	name	assemblies	"If another comes in his own name, you will receive him."	"I robbed other assemblies, taking wages from them that I might serve you."	0	assembly	assembly	assembly	name	assembly	names	(b).	1	1	1	0	1	0	1	1
8	name	wings	"If another comes in his own name, you will receive him."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
9	name	wrath	"If another comes in his own name, you will receive him."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	name	name	name	name	name	name	(b).	1	1	1	0	0	0	1	1
10	suburbs	name	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"If another comes in his own name, you will receive him."	1	name	name	name	name	name	name	(b).	0	0	0	1	1	1	1	1
11	suburbs	wheels	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	1	suburb	suburb	suburb	suburb	suburb	suburb	(b).	1	1	1	1	1	1	1	1
