word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt5_answer	prompt7_answer	binary_answer1	binary_answer5	binary_answer7	mode_complexity
possibilidades	inimigos	Este artigo de atualização tem como objetivo apresentar diversas possibilidades atuais da artroscopia de quadril.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	1	"""possibil"	possibilidades	"(b). ""e"	1	0	0	0
zona	rodas	Estabelecer uma zona de segurança neurovascular no acesso cirúrgico do terço médio da clavícula por dissecção em cadáveres.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	1	"""zona"" is"	"""rodas"" is"	"(a). ""est"	1	1	1	1
papel	destino	Os aspetos nutricionais serão discutidos, incluindo o papel que o exercício pode ter sobre a redução dos efeitos negativos deste fenômeno.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	destino.	"(b). ""pass"	0	1	0	0
Todo-Poderoso	destino	E ouvi como que a voz de uma grande multidão, e como que a voz de muitas águas, e como que a voz de grandes trovões, que dizia: Aleluia! pois já o Senhor Deus Todo-Poderoso reina.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	todo-poder	destino	"(a). ""e"	1	1	1	1
síria	inimigos	E veio sobre ele o Espírito do SENHOR, e julgou a Israel, e saiu à peleja; e o SENHOR entregou na sua mão a Cusã-Risataim, rei da Síria; contra o qual prevaleceu a sua mão.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	0	"""inimigos"	inimigos.	"(a). ""e"	0	1	1	1
razão	siclos	primeiramente a prefeitura utilizou máquinas e equipamentos para desassoreamento do córrego entre folhas, depois, em razão da escassez de água, foi utilizado caminhão-pipa para levar água até o depósito	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	razão.	razão.	"(b). ""e"	1	0	0	0
CAG	galeria	# LT Grinberg; REL Ferretti; REP Leite; JM Farfel; SP Pacheco; ATDL Alho; RP Grisoli; HTM Matos; EG Moreira; ES Balbino; KC Oliveira; S Rosemberg; HB Carvalho; CAG Pasquallucci; PHN Saldiva; W Jacob-Filho; R Nitrini	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	cag	galeria	"(b). ""na"	1	1	0	1
dia	inimigos	E todas as panelas em Jerusalém e Judá serão consagradas ao SENHOR dos Exércitos, e todos os que sacrificarem virão, e delas tomarão, e nelas cozerão. E, naquele dia não haverá mais cananeu na casa do SENHOR dos Exércitos.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	0	"""inimigos"	inimigos.	"(a). ""e"	0	1	1	1
olho	rodas	A doente apresentava perda de visão do olho esquerdo.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	0	olho.	olho.	"(b). ""ent"	1	0	0	0
incenso	nome	E a trará aos filhos de Arão, os sacerdotes, um dos quais tomará dela um punhado da flor de farinha, e do seu azeite com todo o seu incenso; e o sacerdote a queimará como memorial sobre o altar; oferta queimada é, de cheiro suave ao SENHOR.	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	incenso.	nome	"(a). ""e"	1	1	1	1
adorassem	nome	Falou Nabucodonosor, dizendo: Bendito seja o Deus de Sadraque, Mesaque e Abednego, que enviou o seu anjo, e livrou os seus servos, que confiaram nele, pois violaram a palavra do rei, preferindo entregar os seus corpos, para que não servissem nem adorassem algum outro deus, senão o seu Deus.	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	"""adorassem"""	nome.	"(a). ""fal"	1	1	1	1
pedra	arrabaldes	E disseram uns aos outros: Eia, façamos tijolos e queimemo-los bem. E foi-lhes o tijolo por pedra, e o betume por cal.	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	arrabaldes.	pedra	"(b). ""p"	0	0	0	0
capítulos	galeria	publicou quatro dezenas de artigos científicos em revistas indexadas, foi editor de um livro técnico científico e escreveu quatro capítulos de livro	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	capítul	capítulos	"(a). ""public"	1	0	1	1
nação	rodas	E julgará entre muitos povos, e castigará nações poderosas e longínquas, e converterão as suas espadas em pás, e as suas lanças em foices; uma nação levantará a espada contra outra nação, nem aprenderão mais a guerra.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	0	"""nação"""	rodas	"(a). ""e"	1	1	1	1
verdade	noites	Benignidade e verdade guardam ao rei, e com benignidade sustém ele o seu trono.	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	noites is more difficult	noites	"(b). ""p"	0	1	0	0
tecnologia	dissipa	desenvolver políticas públicas para a valorização da leitura na escola e em casa preparar corpo técnico e docente para utilizar novas técnicas de ensino baseada na tecnologia atual	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	dissipa.	tecnologia	"(a). ""des"	0	0	1	0
embalar	noites	uma playlist foi montada através de sugestões do público pelo facebook e instagram para embalar as atividades	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	embalar.	noites.	"(b). ""p"	1	1	0	1
mapas	dissipa	A análise estatística da amostra de 3585 estudantes foi desenvolvida em SPSS, Excel nas representações gráficas e ArcMap, para os mapas.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	"""dissipa"	mapas.	"(b). ""ass"	0	0	0	0
alelo	observadores	27 casos (74%) foram classificados como possível DCJe, dos quais 51% preencheram critérios para provável DCJe.  Exame neuropatológico do encéfalo foi realizado em apenas 3 casos, dos quais 2 foram classificados como DCJe definida e um como DCJe não confirmada.  Mutações do PRNP não foram encontradas e, com respeito ao polimorfismo do códon 129, valina em ambos os alelos (Val129Val) foi mais freqüente em pacientes do que em controles (OR=4,98; 1,55-15,96; p=0,007) quando todos os casos foram investigados, mas não quando apenas casos prováveis foram incluídos.	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	"""observadores"	observadores	"(a). ""27"	0	1	1	1
