Genre	Sentence	ComplexWord	Gold_Complexity	prompt1_pred	prompt2_pred	prompt3_pred	prompt4_pred	prompt5_pred	avg_pred
bible	But he, beckoning to them with his hand to be silent, declared to them how the Lord had brought him out of the prison.	hand	0.0	0.2	1.0	0.4	0.0	0.5	0.42
bible	If I forget you, Jerusalem, let my right hand forget its skill.	hand	0.2	0.8	1.0	1.0	1.0	0.0	0.76
bible	the ten sons of Haman the son of Hammedatha, the Jew's enemy, but they didn't lay their hand on the plunder.	hand	0.2	0.6	0.8	0.2	0.0	0.0	0.32
bible	Let your hand be lifted up above your adversaries, and let all of your enemies be cut off.	hand	0.27	0.8	0.7	0.6	0.0	0.0	0.42
bible	Abimelech chased him, and he fled before him, and many fell wounded, even to the entrance of the gate.	entrance	0.0	0.6	0.7	0.6	0.0	0.0	0.38
bible	for as he thinks about the cost, so he is.	cost	0.25	0.8	0.9	0.8	0.6	1.0	0.82
bible	When his armor bearer saw that Saul was dead, he likewise fell on his sword, and died with him.	armor	0.03	0.0	0.8	0.6	0.2	0.0	0.32
bible	Therefore put on the whole armor of God, that you may be able to withstand in the evil day, and, having done all, to stand.	armor	0.2	0.8	0.7	1.0	1.0	0.0	0.7
bible	Hezekiah listened to them, and showed them all the house of his precious things, the silver, and the gold, and the spices, and the precious oil, and the house of his armor, and all that was found in his treasures: there was nothing in his house, nor in all his dominion, that Hezekiah didn't show them.	armor	0.22	0.8	0.8	0.4	0.4	0.0	0.48
bible	That first slaughter, which Jonathan and his armor bearer made, was about twenty men, within as it were half a furrow's length in an acre of land.	armor	0.32	0.8	0.6	0.6	0.1	0.0	0.42
bible	They put his armor in the house of their gods, and fastened his head in the house of Dagon.	armor	0.39	0.8	0.8	0.4	0.0	0.0	0.4
bible	But the men of the army whom Amaziah sent back, that they should not go with him to battle, fell on the cities of Judah, from Samaria even to Beth Horon, and struck of them three thousand, and took much spoil.	battle	0.05	0.6	1.0	0.4	0.5	1.0	0.7
bible	"He answered, ""The people have fled from the battle, and many of the people also have fallen and are dead; and Saul and Jonathan his son are dead also."""	battle	0.17	0.8	1.0	1.0	0.9	1.0	0.94
bible	The children of Ammon gathered themselves together from their cities, and came to battle.	battle	0.21	0.6	1.0	0.8	0.0	1.0	0.68
bible	"Of Manasseh also there fell away some to David, when he came with the Philistines against Saul to battle; but they didn't help them; for the lords of the Philistines sent him away after consultation, saying, ""He will fall away to his master Saul to the jeopardy of our heads."""	battle	0.24	1.0	1.0	0.6	0.2	1.0	0.76
bible	You that are full of shouting, a tumultuous city, a joyous town; your slain are not slain with the sword, neither are they dead in battle.	battle	0.31	0.8	1.0	0.4	0.5	1.0	0.74
bible	one young bull, one ram, one male lamb a year old, for a burnt offering;	lamb	0.05	0.4	0.2	0.0	0.0	0.6	0.24
bible	He shall kill the male lamb in the place where they kill the sin offering and the burnt offering, in the place of the sanctuary; for as the sin offering is the priest's, so is the trespass offering.	lamb	0.21	0.4	0.4	0.4	0.2	0.4	0.36
bible	The wolf and the lamb shall feed together, and the lion shall eat straw like the ox; and dust shall be the serpent's food.	lamb	0.21	0.0	0.3	0.0	0.0	0.0	0.06
bible	"If therefore your whole body is full of light, having no part dark, it will be wholly full of light, as when the lamp with its bright shining gives you light."""	body	0.2	0.6	0.7	0.4	0.4	0.5	0.52
bible	For the husband is the head of the wife, and Christ also is the head of the assembly, being himself the savior of the body.	body	0.31	0.0	1.0	0.6	0.4	1.0	0.6
bible	Of all my sons (for Yahweh has given me many sons), he has chosen Solomon my son to sit on the throne of Yahweh's kingdom over Israel.	kingdom	0.05	0.8	0.8	0.6	0.0	0.0	0.44
bible	"However I will not tear away all the kingdom; but I will give one tribe to your son, for David my servant's sake, and for Jerusalem's sake which I have chosen."""	kingdom	0.19	0.8	1.0	0.6	0.3	0.0	0.54
bible	But concerning the matter of the kingdom, of which Samuel spoke, he didn't tell him.	kingdom	0.19	0.8	0.8	0.6	0.0	0.8	0.6
bible	Now when Saul had taken the kingdom over Israel, he fought against all his enemies on every side, against Moab, and against the children of Ammon, and against Edom, and against the kings of Zobah, and against the Philistines: and wherever he turned himself, he defeated them.	kingdom	0.19	0.8	0.8	0.8	0.4	0.8	0.72
bible	He prayed to him; and he was entreated by him, and heard his supplication, and brought him again to Jerusalem into his kingdom.	kingdom	0.21	0.8	0.8	0.4	0.4	0.8	0.64
bible	"Go yourselves, get straw where you can find it, for nothing of your work shall be diminished.'"""	yourselves	0.07	0.0	0.0	0.4	0.1	0.0	0.1
bible	Separate yourselves from among this congregation, that I may consume them in a moment!	yourselves	0.25	0.0	0.0	1.0	1.0	0.0	0.4
bible	Neither present your members to sin as instruments of unrighteousness, but present yourselves to God, as alive from the dead, and your members as instruments of righteousness to God.	yourselves	0.46	0.0	0.0	0.8	0.6	0.0	0.28
bible	You shall take of the blood of the bull, and put it on the horns of the altar with your finger; and you shall pour out all the blood at the base of the altar.	bull	0.08	0.8	1.0	0.0	0.1	1.0	0.58
