word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt5_answer	prompt7_answer	binary_answer1	binary_answer5	binary_answer7	mode_complexity
explicação	mecanismo	então, podemos ter nisso a explicação para a crise da água em são paulo	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	mecanismo.	explicação	"(b). ""a"	0	0	0	0
medina	visualizar	tanto é que agora conquistou o certificado do sistema de inspeção municipal, entregue na última sexta,9, pelo secretário de agricultura, liberato bochi e pela veterinária patrícia medina aos empresários rita e adair bazana	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	"""visualizar""."	visualizar	"(a). ""t"	0	1	1	1
defesa	comitês	ao considerar o laudo pericial como insuficiente, incompleto e impreciso, a defesa de dilma rousseff requereu ao tse que nova perícia contábil seja realizada e considere as 8 mil páginas de documentos juntadas aos autos e não examinadas pela perícia anterior, conclui a nota	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	comitês	comitês	"(a). ""ao"	0	1	1	1
economia	responsabilidade	o acadêmico fez os comentários em palestra no décimo terceiro fórum de economia realizado pela eesp-fgv	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	economia.	responsabilidade.	"(a). ""o"	1	1	1	1
explicação	galeria	a explicação é que puccini não havia concluído a ópera, que foi terminada por um dos discípulos mais talentosos de puccini - franco alfano	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	explicação	galeria.	"(a). ""a"	1	1	1	1
esforços	visualizar	segundo a administração pública, todos os esforços foram feitos anteriormente para que a água chegasse até os munícipes	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	esforços.	visualizar.	"(a). ""se"	1	1	1	1
movimento	observadores	há necessidade de um movimento político, e isso já estamos fazendo, junto à associação mineira dos municípios, para que o governo coloque uma cota maior de recursos para podermos gerenciar, porque as pessoas vivem nos municípios, não é no estado e nem na união	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	observadores.	observadores.	(a).	0	1	1	1
sustentabilidade	galeria	a preocupação com sustentabilidade vem crescendo em todos os setores e os investidores estarão cada vez mais atentos a isso, afirma luciane	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	sustentabilid	galeria.	"(a). ""a"	1	1	1	1
classificação	responsabilidade	a classificação indicativa é de 14 anos	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	classificação	responsabilidade.	"(b). ""os"	1	1	0	1
crise	mecanismo	crise passa longeentre tanta coisa que precisa ser revista neste país, está na hora de alguém, com devida autoridade, vasculhar melhor o funcionamento das negociatas que envolvem vendas de horários da tv para igrejas	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	it depends on the level	mecanismo	"(a). ""cr"	1	1	1	1
todos	ofensa	capacitar e treinar todos os profissionais de saúde	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	ofensa.	todos.	"(b). ""o"	0	0	0	0
pergunta	ofensa	frente a frente com o juiz federal sérgio moro, o empreiteiro disse, na ocasião, que por orientação dos advogados não responderia a nenhuma pergunta	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	pergunta.	pergunta (question	"(b). ""o"	1	0	0	0
aviação	mecanismo	além da superlotação, a agência nacional de aviação civil informou que o monomotor não tinha permissão para voar	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	aviação.	aviação	"(b). """	1	0	0	0
finança	destino	"os líderes políticos existem e são muito capazes, mas em vez de trabalharem para quem os elege, não passam de capatazes do ert, da alta finança e dos mais variados interesses que patrocinam certos €uro-deputados ou euro-comissários com champanhe e caviar num edifício em bruxelas financiado pelos contribuintes…"	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	finança.	destino.	"(a). ""os"	1	1	1	1
famílias	autoridades	muitas famílias foram ao evento nesse final de semana e os 365 piquetes estavam constantemente lotados, com muito churrasco	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	0	autoridades.	famílias.	"(b). ""a"	0	0	0	0
declarações	tributação	já sobre wilson santos (psdb), emanuel ressaltou as diversas declarações contrárias ao vlt e disse que sua possível gestão será a vontade de pedro taques	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	1	tributação	tributação	"(b). ""a"	0	1	0	0
