id	word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt2_answer	prompt3_answer	prompt4_answer	prompt5_answer	prompt6_answer	prompt7_answer	binary_answer1	binary_answer2	binary_answer3	binary_answer4	binary_answer5	binary_answer6	binary_answer7	mode_complexity
2701	Socialists	fate	"However, I think we should give the Socialists a chance to reach a conclusion so that they too can do something to help reduce bureaucracy and the burden on small and medium-sized enterprises."	"Mr President, could we not demonstrate again the great interest that we take in the fate of these prisoners who have been tortured and have been absent from their homes for eight years for having treated young Libyans?"	1	socialists	fate	socialism	socialism	socialists	socialism	(b).	1	0	1	1	0	1	0	0
2056	defence	taxation	The new directive is a major step forward towards the establishment of a common European defence market.	"According to the procedure laid down in the Treaty, it is Parliament’s responsibility to lay down the regulations and general conditions governing the performance of the duties of its Members, after seeking an opinion from the Commission and with the approval of the Council, which requires unanimity as regards taxation."	1	taxation	taxation	taxation	taxation	taxation	taxation	(b).	0	0	0	1	1	1	0	0
2127	Lulling	authorities	"I am sure, Mrs Lulling, that this detail had not escaped the Members of this House, but I gave the floor to our rapporteur because she did not have the opportunity to speak during the debates."	"According to investigations by the competent authorities, citizens of the Member States are allegedly involved in tax evasion."	1	authority	authority	authority	authority	authority	authority	(b).	1	1	1	1	1	1	0	1
2449	criticisms	accountability	That is why it is our duty to voice honest criticisms.	"This is designed to ensure greater legitimacy, greater accountability and more efficiency of public authorities in the democratic system."	0	criticisms	criticisms	criticisms	criticisms	criticisms	criticisms	(b).	1	1	1	0	0	0	0	0
2634	evaluation	mechanism	"by Carlos Coelho, on behalf of the Committee on Civil Liberties, Justice and Home Affairs, on the establishment of an evaluation mechanism to monitor the application of the Schengen acquis - C6-0111/2009 -;"	"Beyond such a mechanism, a series of measures could be envisaged at EU level to assist a Member State facing heavy pressure at the external borders."	1	evaluation	evaluation	evaluation	evaluation	evaluation	evaluation	(b).	1	1	1	0	0	0	0	0
1365	deforestation	committees	"At the moment, it reads 'reducing emissions for deforestation and degradation'."	"At present, the Committee on Women's Rights and Gender Equality is the most important instrument for supporting the efforts that still need to be undertaken in other committees to ensure genuine equality between women and men."	1	committees	committees	committees	committees	committees	committees	(b).	0	0	0	1	1	1	0	0
1534	converter	mechanism	"Thirdly, a technical tool - a converter - will be made available during this interim period that will connect the SIS I central system to the SIS II central system, enabling both to process the same information and ensuring that all Member States stay on the same level."	"Beyond such a mechanism, a series of measures could be envisaged at EU level to assist a Member State facing heavy pressure at the external borders."	1	mechanism	mechanism	mechanism	mechanism	mechanism	mechanism	(b).	0	0	0	1	1	1	0	0
909	ruling	offence	"I would like to welcome our new fellow Member and issue a reminder that, on the basis of Rule 3(2) of the Rules of Procedure of the European Parliament, until such time as her credentials have been verified or a ruling has been given on any dispute, Mrs Irigoyen Pérez shall take her seat in Parliament and on its bodies and shall enjoy all the rights pertaining thereto, provided that she has previously declared that she does not hold any office incompatible with that of Member of the European Parliament."	"More specifically, the Commission deplores the fact that the scope of the framework decision has been limited to cases where the same person is subject to parallel criminal proceedings for the same offence."	1	rule	rule	rule	rule	rule	rule	(b).	1	1	1	1	1	1	0	1
1174	legislator	view	"The fact is, this project, which has received a great deal of support from those in the sector and from the legislator but which, above all, must provide a modern payment tool that is suited to the circumstances of our single currency, the euro, is in danger of not achieving the critical mass that it should have in order to be fully effective."	"Incidentally, the Council should, in the view of this House, aspire to achieve more transparency in such an important and comprehensive area of policy as relations with Russia."	1	legislature	legislature	view	a legislator	legislature	legislature	(b).	1	1	0	0	1	1	0	1
377	boycott	taxation	"Many political activists are in prison, and the opposition party has decided to boycott the elections completely."	"According to the procedure laid down in the Treaty, it is Parliament’s responsibility to lay down the regulations and general conditions governing the performance of the duties of its Members, after seeking an opinion from the Commission and with the approval of the Council, which requires unanimity as regards taxation."	0	taxation	taxation	taxation	taxation	taxation	taxation	(b).	0	0	0	1	1	1	0	0
